'Elapsed time','FECG','UC'
'hh:mm:ss.mmm','mV','mV'
'0:00.816',4.850,0.730
'0:00.818',4.840,0.725
'0:00.820',4.820,0.720
'0:00.822',4.830,0.730
'0:00.824',4.825,0.725
'0:00.826',4.830,0.730
'0:00.828',4.820,0.715
'0:00.830',4.825,0.725
'0:00.832',4.865,0.735
'0:00.834',4.855,0.725
'0:00.836',4.840,0.730
'0:00.838',4.840,0.730
'0:00.840',4.840,0.725
'0:00.842',4.810,0.715
'0:00.844',4.810,0.725
'0:00.846',4.820,0.720
'0:00.848',4.835,0.730
'0:00.850',4.840,0.720
'0:00.852',4.855,0.720
'0:00.854',4.860,0.725
'0:00.856',4.850,0.735
'0:00.858',4.830,0.710
'0:00.860',4.810,0.715
'0:00.862',4.825,0.720
'0:00.864',4.810,0.735
'0:00.866',4.820,0.730
'0:00.868',4.845,0.715
'0:00.870',4.845,0.730
'0:00.872',4.850,0.730
'0:00.874',4.835,0.735
'0:00.876',4.845,0.705
'0:00.878',4.835,0.720
'0:00.880',4.820,0.720
'0:00.882',4.830,0.735
'0:00.884',4.830,0.715
'0:00.886',4.840,0.725
'0:00.888',4.830,0.730
'0:00.890',4.855,0.725
'0:00.892',4.835,0.730
'0:00.894',4.840,0.720
'0:00.896',4.835,0.730
'0:00.898',4.845,0.725
'0:00.900',4.825,0.725
'0:00.902',4.820,0.720
'0:00.904',4.855,0.730
'0:00.906',4.840,0.725
'0:00.908',4.840,0.725
'0:00.910',4.835,0.715
'0:00.912',4.845,0.730
'0:00.914',4.825,0.715
'0:00.916',4.820,0.725
'0:00.918',4.840,0.725
'0:00.920',4.845,0.730
'0:00.922',4.845,0.775
'0:00.924',4.840,0.720
'0:00.926',4.850,0.720
'0:00.928',4.825,0.720
'0:00.930',4.805,0.725
'0:00.932',4.835,0.715
'0:00.934',4.845,0.725
'0:00.936',4.850,0.725
'0:00.938',4.845,0.730
'0:00.940',4.835,0.715
'0:00.942',4.835,0.715
'0:00.944',4.815,0.715
'0:00.946',4.820,0.730
'0:00.948',4.825,0.725
'0:00.950',4.845,0.725
'0:00.952',4.840,0.730
'0:00.954',4.840,0.725
'0:00.956',4.855,0.730
'0:00.958',4.820,0.710
'0:00.960',4.810,0.720
'0:00.962',4.820,0.725
'0:00.964',4.835,0.715
'0:00.966',4.840,0.730
'0:00.968',4.845,0.720
'0:00.970',4.855,0.735
'0:00.972',4.850,0.730
'0:00.974',4.835,0.720
'0:00.976',4.820,0.715
