'Elapsed time','FECG','UC'
'hh:mm:ss.mmm','mV','mV'
'0:32.338',4.820,-10.240
'0:32.340',4.830,-10.240
'0:32.342',4.850,-10.240
'0:32.344',4.835,-10.240
'0:32.346',4.820,-10.240
'0:32.348',4.820,-10.240
'0:32.350',4.820,-10.240
'0:32.352',4.840,-10.240
'0:32.354',4.825,-10.240
'0:32.356',4.830,-10.240
'0:32.358',4.840,-10.240
'0:32.360',4.845,-10.240
'0:32.362',4.830,-10.240
'0:32.364',4.835,-10.240
'0:32.366',4.825,-10.240
'0:32.368',4.820,-10.240
'0:32.370',4.840,-10.240
'0:32.372',4.830,-10.240
'0:32.374',4.825,-10.240
'0:32.376',4.850,-10.240
'0:32.378',4.840,-10.240
'0:32.380',4.845,-10.240
'0:32.382',4.825,-10.240
'0:32.384',4.825,-10.240
'0:32.386',4.835,-10.240
'0:32.388',4.815,-10.240
'0:32.390',4.815,-10.240
'0:32.392',4.835,-10.240
'0:32.394',4.835,-10.240
'0:32.396',4.845,-10.240
'0:32.398',4.840,-10.240
'0:32.400',4.840,-10.240
'0:32.402',4.840,-10.240
'0:32.404',4.840,-10.240
'0:32.406',4.815,-10.240
'0:32.408',4.805,-10.240
'0:32.410',4.830,-10.240
'0:32.412',4.835,-10.240
'0:32.414',4.845,-10.240
'0:32.416',4.835,-10.240
'0:32.418',4.855,-10.240
'0:32.420',4.850,-10.240
'0:32.422',4.820,-10.240
'0:32.424',4.810,-10.240
'0:32.426',4.820,-10.240
'0:32.428',4.830,-10.240
'0:32.430',4.835,-10.240
'0:32.432',4.830,-10.240
'0:32.434',4.840,-10.240
'0:32.436',4.845,-10.240
'0:32.438',4.845,-10.240
'0:32.440',4.820,-10.240
'0:32.442',4.810,-10.240
'0:32.444',4.825,-10.240
'0:32.446',4.830,-10.240
'0:32.448',4.850,-10.240
'0:32.450',4.845,-10.240
'0:32.452',4.840,-10.240
'0:32.454',4.850,-10.240
'0:32.456',4.825,-10.240
'0:32.458',4.815,-10.240
'0:32.460',4.825,-10.240
'0:32.462',4.830,-10.240
'0:32.464',4.845,-10.240
'0:32.466',4.840,-10.240
'0:32.468',4.835,-10.240
'0:32.470',4.845,-10.240
'0:32.472',4.815,-10.240
'0:32.474',4.820,-10.240
'0:32.476',4.830,-10.240
'0:32.478',4.835,-10.240
'0:32.480',4.840,-10.240
'0:32.482',4.840,-10.240
'0:32.484',4.860,-10.240
'0:32.486',4.830,-10.240
'0:32.488',4.810,-10.240
'0:32.490',4.820,-10.240
'0:32.492',4.825,-10.240
'0:32.494',4.835,-10.240
'0:32.496',4.835,-10.240
'0:32.498',4.845,-10.240
'0:32.500',4.855,-10.240
'0:32.502',4.835,-10.240
'0:32.504',4.820,-10.240
'0:32.506',4.820,-10.240
'0:32.508',4.820,-10.240
'0:32.510',4.835,-10.240
'0:32.512',4.825,-10.240
'0:32.514',4.840,-10.240
'0:32.516',4.840,-10.240
'0:32.518',4.860,-10.240
'0:32.520',4.840,-10.240
'0:32.522',4.825,-10.240
'0:32.524',4.820,-10.240
'0:32.526',4.815,-10.240
'0:32.528',4.830,-10.240
'0:32.530',4.830,-10.240
'0:32.532',4.835,-10.240
'0:32.534',4.855,-10.240
'0:32.536',4.855,-10.240
'0:32.538',4.835,-10.240
'0:32.540',4.830,-10.240
'0:32.542',4.820,-10.240
'0:32.544',4.825,-10.240
'0:32.546',4.815,-10.240
'0:32.548',4.830,-10.240
'0:32.550',4.835,-10.240
'0:32.552',4.845,-10.240
'0:32.554',4.835,-10.240
'0:32.556',4.830,-10.240
'0:32.558',4.845,-10.240
'0:32.560',4.840,-10.240
'0:32.562',4.825,-10.240
'0:32.564',4.815,-10.240
'0:32.566',4.820,-10.240
'0:32.568',4.830,-10.240
'0:32.570',4.835,-10.240
'0:32.572',4.820,-10.240
'0:32.574',4.835,-10.240
'0:32.576',4.845,-10.240
'0:32.578',4.835,-10.240
'0:32.580',4.835,-10.240
'0:32.582',4.820,-10.240
'0:32.584',4.830,-10.240
'0:32.586',4.830,-10.240
'0:32.588',4.820,-10.240
'0:32.590',4.835,-10.240
'0:32.592',4.835,-10.240
'0:32.594',4.840,-10.240
'0:32.596',4.840,-10.240
'0:32.598',4.840,-10.240
'0:32.600',4.840,-10.240
'0:32.602',4.825,-10.240
'0:32.604',4.820,-10.240
'0:32.606',4.840,-10.240
'0:32.608',4.835,-10.240
'0:32.610',4.830,-10.240
'0:32.612',4.835,-10.240
'0:32.614',4.855,-10.240
'0:32.616',4.840,-10.240
'0:32.618',4.815,-10.240
'0:32.620',4.825,-10.240
'0:32.622',4.825,-10.240
'0:32.624',4.830,-10.240
'0:32.626',4.830,-10.240
'0:32.628',4.840,-10.240
'0:32.630',4.855,-10.240
'0:32.632',4.835,-10.240
'0:32.634',4.815,-10.240
'0:32.636',4.830,-10.240
'0:32.638',4.830,-10.240
'0:32.640',4.835,-10.240
'0:32.642',4.820,-10.240
'0:32.644',4.830,-10.240
'0:32.646',4.855,-10.240
'0:32.648',4.835,-10.240
'0:32.650',4.820,-10.240
'0:32.652',4.830,-10.240
'0:32.654',4.825,-10.240
'0:32.656',4.815,-10.240
'0:32.658',4.825,-10.240
'0:32.660',4.830,-10.240
'0:32.662',4.850,-10.240
'0:32.664',4.845,-10.240
'0:32.666',4.835,-10.240
'0:32.668',4.830,-10.240
'0:32.670',4.835,-10.240
'0:32.672',4.820,-10.240
'0:32.674',4.815,-10.240
'0:32.676',4.830,-10.240
'0:32.678',4.835,-10.240
'0:32.680',4.840,-10.240
'0:32.682',4.835,-10.240
'0:32.684',4.840,-10.240
'0:32.686',4.855,-10.240
'0:32.688',4.830,-10.240
'0:32.690',4.815,-10.240
'0:32.692',4.815,-10.240
'0:32.694',4.815,-10.240
'0:32.696',4.825,-10.240
'0:32.698',4.835,-10.240
'0:32.700',4.835,-10.240
'0:32.702',4.865,-10.240
'0:32.704',4.840,-10.240
'0:32.706',4.835,-10.240
'0:32.708',4.825,-10.240
'0:32.710',4.815,-10.240
'0:32.712',4.820,-10.240
'0:32.714',4.820,-10.240
'0:32.716',4.825,-10.240
'0:32.718',4.850,-10.240
'0:32.720',4.845,-10.240
'0:32.722',4.835,-10.240
'0:32.724',4.830,-10.240
'0:32.726',4.850,-10.240
'0:32.728',4.820,-10.240
'0:32.730',4.820,-10.240
'0:32.732',4.830,-10.240
'0:32.734',4.840,-10.240
'0:32.736',4.830,-10.240
'0:32.738',4.830,-10.240
'0:32.740',4.855,-10.240
'0:32.742',4.835,-10.240
'0:32.744',4.825,-10.240
'0:32.746',4.815,-10.240
'0:32.748',4.835,-10.240
'0:32.750',4.835,-10.240
'0:32.752',4.830,-10.240
'0:32.754',4.850,-10.240
'0:32.756',4.835,-10.240
'0:32.758',4.825,-10.240
'0:32.760',4.825,-10.240
'0:32.762',4.820,-10.240
'0:32.764',4.825,-10.240
'0:32.766',4.820,-10.240
'0:32.768',4.850,-10.240
'0:32.770',4.850,-10.240
'0:32.772',4.840,-10.240
'0:32.774',4.830,-10.240
'0:32.776',4.820,-10.240
'0:32.778',4.820,-10.240
'0:32.780',4.820,-10.240
'0:32.782',4.820,-10.240
'0:32.784',4.845,-10.240
'0:32.786',4.845,-10.240
'0:32.788',4.835,-10.240
'0:32.790',4.830,-10.240
'0:32.792',4.840,-10.240
'0:32.794',4.815,-10.240
'0:32.796',4.820,-10.240
'0:32.798',4.840,-10.240
'0:32.800',4.840,-10.240
'0:32.802',4.845,-10.240
'0:32.804',4.840,-10.240
'0:32.806',4.825,-10.240
'0:32.808',4.850,-10.240
'0:32.810',4.825,-10.240
'0:32.812',4.820,-10.240
'0:32.814',4.820,-10.240
'0:32.816',4.840,-10.240
'0:32.818',4.835,-10.240
'0:32.820',4.840,-10.240
'0:32.822',4.825,-10.240
'0:32.824',4.835,-10.240
'0:32.826',4.855,-10.240
'0:32.828',4.835,-10.240
'0:32.830',4.830,-10.240
'0:32.832',4.820,-10.240
'0:32.834',4.830,-10.240
'0:32.836',4.820,-10.240
'0:32.838',4.815,-10.240
'0:32.840',4.850,-10.240
'0:32.842',4.835,-10.240
'0:32.844',4.840,-10.240
'0:32.846',4.835,-10.240
'0:32.848',4.840,-10.240
'0:32.850',4.850,-10.240
'0:32.852',4.820,-10.240
'0:32.854',4.805,-10.240
'0:32.856',4.825,-10.240
'0:32.858',4.825,-10.240
'0:32.860',4.820,-10.240
'0:32.862',4.820,-10.240
'0:32.864',4.860,-10.240
'0:32.866',4.845,-10.240
'0:32.868',4.845,-10.240
'0:32.870',4.835,-10.240
'0:32.872',4.835,-10.240
'0:32.874',4.820,-10.240
'0:32.876',4.815,-10.240
'0:32.878',4.830,-10.240
'0:32.880',4.835,-10.240
'0:32.882',4.840,-10.240
'0:32.884',4.840,-10.240
'0:32.886',4.835,-10.240
'0:32.888',4.845,-10.240
'0:32.890',4.830,-10.240
'0:32.892',4.815,-10.240
'0:32.894',4.810,-10.240
'0:32.896',4.835,-10.240
'0:32.898',4.835,-10.240
'0:32.900',4.835,-10.240
'0:32.902',4.855,-10.240
'0:32.904',4.845,-10.240
'0:32.906',4.835,-10.240
'0:32.908',4.825,-10.240
'0:32.910',4.840,-10.240
'0:32.912',4.815,-10.240
'0:32.914',4.820,-10.240
'0:32.916',4.845,-10.240
'0:32.918',4.845,-10.240
'0:32.920',4.840,-10.240
'0:32.922',4.830,-10.240
'0:32.924',4.855,-10.240
'0:32.926',4.835,-10.240
'0:32.928',4.820,-10.240
'0:32.930',4.820,-10.240
'0:32.932',4.820,-10.240
'0:32.934',4.835,-10.240
'0:32.936',4.830,-10.240
'0:32.938',4.830,-10.240
'0:32.940',4.850,-10.240
'0:32.942',4.840,-10.240
'0:32.944',4.840,-10.240
'0:32.946',4.825,-10.240
'0:32.948',4.820,-10.240
'0:32.950',4.835,-10.240
'0:32.952',4.830,-10.240
'0:32.954',4.830,-10.240
'0:32.956',4.850,-10.240
'0:32.958',4.840,-10.240
'0:32.960',4.830,-10.240
'0:32.962',4.830,-10.240
'0:32.964',4.820,-10.240
'0:32.966',4.835,-10.240
'0:32.968',4.830,-10.240
'0:32.970',4.830,-10.240
'0:32.972',4.840,-10.240
'0:32.974',4.840,-10.240
'0:32.976',4.845,-10.240
'0:32.978',4.835,-10.240
'0:32.980',4.830,-10.240
'0:32.982',4.825,-10.240
'0:32.984',4.825,-10.240
'0:32.986',4.820,-10.240
'0:32.988',4.820,-10.240
'0:32.990',4.850,-10.240
'0:32.992',4.850,-10.240
'0:32.994',4.845,-10.240
'0:32.996',4.825,-10.240
'0:32.998',4.820,-10.240
'0:33.000',4.830,-10.240
'0:33.002',4.830,-10.240
'0:33.004',4.835,-10.240
'0:33.006',4.820,-10.240
'0:33.008',4.855,-10.240
'0:33.010',4.835,-10.240
'0:33.012',4.830,-10.240
'0:33.014',4.820,-10.240
'0:33.016',4.825,-10.240
'0:33.018',4.835,-10.240
'0:33.020',4.830,-10.240
'0:33.022',4.830,-10.240
'0:33.024',4.865,-10.240
'0:33.026',4.845,-10.240
'0:33.028',4.820,-10.240
'0:33.030',4.825,-10.240
'0:33.032',4.825,-10.240
'0:33.034',4.840,-10.240
'0:33.036',4.835,-10.240
'0:33.038',4.825,-10.240
'0:33.040',4.850,-10.240
'0:33.042',4.835,-10.240
'0:33.044',4.830,-10.240
'0:33.046',4.830,-10.240
'0:33.048',4.825,-10.240
'0:33.050',4.835,-10.240
'0:33.052',4.825,-10.240
'0:33.054',4.820,-10.240
'0:33.056',4.845,-10.240
'0:33.058',4.840,-10.240
'0:33.060',4.830,-10.240
'0:33.062',4.830,-10.240
'0:33.064',4.850,-10.240
'0:33.066',4.825,-10.240
'0:33.068',4.810,-10.240
'0:33.070',4.825,-10.240
'0:33.072',4.870,-10.240
'0:33.074',4.835,-10.240
'0:33.076',4.830,-10.240
'0:33.078',4.830,-10.240
'0:33.080',4.855,-10.240
'0:33.082',4.850,-10.240
'0:33.084',4.835,-10.240
'0:33.086',4.830,-10.240
'0:33.088',4.825,-10.240
'0:33.090',4.815,-10.240
'0:33.092',4.805,-10.240
'0:33.094',4.835,-10.240
'0:33.096',4.835,-10.240
'0:33.098',4.850,-10.240
'0:33.100',4.840,-10.240
'0:33.102',4.835,-10.240
'0:33.104',4.855,-10.240
'0:33.106',4.830,-10.240
'0:33.108',4.810,-10.240
'0:33.110',4.820,-10.240
'0:33.112',4.820,-10.240
'0:33.114',4.835,-10.240
'0:33.116',4.835,-10.240
'0:33.118',4.855,-10.240
'0:33.120',4.845,-10.240
'0:33.122',4.835,-10.240
'0:33.124',4.825,-10.240
'0:33.126',4.825,-10.240
'0:33.128',4.830,-10.240
'0:33.130',4.815,-10.240
'0:33.132',4.820,-10.240
'0:33.134',4.835,-10.240
'0:33.136',4.835,-10.240
'0:33.138',4.830,-10.240
'0:33.140',4.835,-10.240
'0:33.142',4.835,-10.240
'0:33.144',4.840,-10.240
'0:33.146',4.830,-10.240
'0:33.148',4.815,-10.240
'0:33.150',4.825,-10.240
'0:33.152',4.825,-10.240
'0:33.154',4.835,-10.240
'0:33.156',4.825,-10.240
'0:33.158',4.840,-10.240
'0:33.160',4.840,-10.240
'0:33.162',4.835,-10.240
'0:33.164',4.840,-10.240
'0:33.166',4.820,-10.240
'0:33.168',4.825,-10.240
'0:33.170',4.825,-10.240
'0:33.172',4.815,-10.240
'0:33.174',4.840,-10.240
'0:33.176',4.835,-10.240
'0:33.178',4.835,-10.240
'0:33.180',4.840,-10.240
'0:33.182',4.835,-10.240
'0:33.184',4.840,-10.240
'0:33.186',4.815,-10.240
'0:33.188',4.815,-10.240
'0:33.190',4.830,-10.240
'0:33.192',4.835,-10.240
'0:33.194',4.830,-10.240
'0:33.196',4.835,-10.240
'0:33.198',4.865,-10.240
'0:33.200',4.830,-10.240
'0:33.202',4.820,-10.240
'0:33.204',4.830,-10.240
'0:33.206',4.825,-10.240
'0:33.208',4.835,-10.240
'0:33.210',4.830,-10.240
'0:33.212',4.830,-10.240
'0:33.214',4.850,-10.240
'0:33.216',4.825,-10.240
'0:33.218',4.815,-10.240
'0:33.220',4.830,-10.240
'0:33.222',4.840,-10.240
'0:33.224',4.835,-10.240
'0:33.226',4.830,-10.240
'0:33.228',4.835,-10.240
'0:33.230',4.840,-10.240
'0:33.232',4.815,-10.240
'0:33.234',4.835,-10.240
'0:33.236',4.830,-10.240
'0:33.238',4.835,-10.240
'0:33.240',4.830,-10.240
'0:33.242',4.850,-10.240
'0:33.244',4.830,-10.240
'0:33.246',4.820,-10.240
'0:33.248',4.830,-10.240
'0:33.250',4.835,-10.240
'0:33.252',4.840,-10.240
'0:33.254',4.830,-10.240
'0:33.256',4.840,-10.240
'0:33.258',4.840,-10.240
'0:33.260',4.835,-10.240
'0:33.262',4.825,-10.240
'0:33.264',4.830,-10.240
'0:33.266',4.825,-10.240
'0:33.268',4.835,-10.240
'0:33.270',4.835,-10.240
'0:33.272',4.825,-10.240
'0:33.274',4.850,-10.240
'0:33.276',4.840,-10.240
'0:33.278',4.830,-10.240
'0:33.280',4.835,-10.240
'0:33.282',4.825,-10.240
'0:33.284',4.820,-10.240
'0:33.286',4.815,-10.240
'0:33.288',4.830,-10.240
'0:33.290',4.830,-10.240
'0:33.292',4.835,-10.240
'0:33.294',4.835,-10.240
'0:33.296',4.830,-10.240
'0:33.298',4.860,-10.240
'0:33.300',4.835,-10.240
'0:33.302',4.825,-10.240
'0:33.304',4.830,-10.240
'0:33.306',4.810,-10.240
'0:33.308',4.825,-10.240
'0:33.310',4.830,-10.240
'0:33.312',4.830,-10.240
'0:33.314',4.860,-10.240
'0:33.316',4.850,-10.240
'0:33.318',4.835,-10.240
'0:33.320',4.830,-10.240
'0:33.322',4.825,-10.240
'0:33.324',4.820,-10.240
'0:33.326',4.815,-10.240
'0:33.328',4.830,-10.240
'0:33.330',4.845,-10.240
'0:33.332',4.840,-10.240
'0:33.334',4.835,-10.240
'0:33.336',4.835,-10.240
'0:33.338',4.835,-10.240
'0:33.340',4.820,-10.240
'0:33.342',4.810,-10.240
'0:33.344',4.815,-10.240
'0:33.346',4.840,-10.240
'0:33.348',4.845,-10.240
'0:33.350',4.845,-10.240
'0:33.352',4.840,-10.240
'0:33.354',4.840,-10.240
'0:33.356',4.815,-10.240
'0:33.358',4.805,-10.240
'0:33.360',4.815,-10.240
'0:33.362',4.830,-10.240
'0:33.364',4.840,-10.240
'0:33.366',4.835,-10.240
'0:33.368',4.840,-10.240
'0:33.370',4.845,-10.240
'0:33.372',4.820,-10.240
'0:33.374',4.820,-10.240
'0:33.376',4.815,-10.240
'0:33.378',4.845,-10.240
'0:33.380',4.840,-10.240
'0:33.382',4.850,-10.240
'0:33.384',4.835,-10.240
'0:33.386',4.825,-10.240
'0:33.388',4.825,-10.240
'0:33.390',4.820,-10.240
'0:33.392',4.810,-10.240
'0:33.394',4.845,-10.240
'0:33.396',4.835,-10.240
'0:33.398',4.845,-10.240
'0:33.400',4.845,-10.240
'0:33.402',4.835,-10.240
'0:33.404',4.850,-10.240
'0:33.406',4.815,-10.240
'0:33.408',4.810,-10.240
'0:33.410',4.815,-10.240
'0:33.412',4.830,-10.240
'0:33.414',4.840,-10.240
'0:33.416',4.845,-10.240
'0:33.418',4.835,-10.240
'0:33.420',4.830,-10.240
'0:33.422',4.850,-10.240
'0:33.424',4.820,-10.240
'0:33.426',4.815,-10.240
'0:33.428',4.805,-10.240
'0:33.430',4.825,-10.240
'0:33.432',4.840,-10.240
'0:33.434',4.835,-10.240
'0:33.436',4.825,-10.240
'0:33.438',4.830,-10.240
'0:33.440',4.855,-10.240
'0:33.442',4.835,-10.240
'0:33.444',4.820,-10.240
'0:33.446',4.820,-10.240
'0:33.448',4.830,-10.240
'0:33.450',4.830,-10.240
'0:33.452',4.825,-10.240
'0:33.454',4.830,-10.240
'0:33.456',4.840,-10.240
'0:33.458',4.835,-10.240
'0:33.460',4.830,-10.240
'0:33.462',4.835,-10.240
'0:33.464',4.840,-10.240
'0:33.466',4.835,-10.240
'0:33.468',4.820,-10.240
'0:33.470',4.830,-10.240
'0:33.472',4.830,-10.240
'0:33.474',4.835,-10.240
'0:33.476',4.830,-10.240
'0:33.478',4.830,-10.240
'0:33.480',4.865,-10.240
'0:33.482',4.845,-10.240
'0:33.484',4.830,-10.240
'0:33.486',4.825,-10.240
'0:33.488',4.820,-10.240
'0:33.490',4.825,-10.240
'0:33.492',4.815,-10.240
'0:33.494',4.840,-10.240
'0:33.496',4.850,-10.240
'0:33.498',4.850,-10.240
'0:33.500',4.840,-10.240
'0:33.502',4.840,-10.240
'0:33.504',4.840,-10.240
'0:33.506',4.815,-10.240
'0:33.508',4.805,-10.240
'0:33.510',4.820,-10.240
'0:33.512',4.825,-10.240
'0:33.514',4.845,-10.240
'0:33.516',4.835,-10.240
'0:33.518',4.840,-10.240
'0:33.520',4.850,-10.240
'0:33.522',4.835,-10.240
'0:33.524',4.820,-10.240
'0:33.526',4.815,-10.240
'0:33.528',4.815,-10.240
'0:33.530',4.840,-10.240
'0:33.532',4.830,-10.240
'0:33.534',4.835,-10.240
'0:33.536',4.850,-10.240
'0:33.538',4.845,-10.240
'0:33.540',4.830,-10.240
'0:33.542',4.810,-10.240
'0:33.544',4.820,-10.240
'0:33.546',4.830,-10.240
'0:33.548',4.830,-10.240
'0:33.550',4.830,-10.240
'0:33.552',4.860,-10.240
'0:33.554',4.850,-10.240
'0:33.556',4.835,-10.240
'0:33.558',4.825,-10.240
'0:33.560',4.820,-10.240
'0:33.562',4.815,-10.240
'0:33.564',4.830,-10.240
'0:33.566',4.830,-10.240
'0:33.568',4.830,-10.240
'0:33.570',4.855,-10.240
'0:33.572',4.835,-10.240
'0:33.574',4.835,-10.240
'0:33.576',4.825,-10.240
'0:33.578',4.820,-10.240
'0:33.580',4.820,-10.240
'0:33.582',4.825,-10.240
'0:33.584',4.830,-10.240
'0:33.586',4.840,-10.240
'0:33.588',4.855,-10.240
'0:33.590',4.845,-10.240
'0:33.592',4.830,-10.240
'0:33.594',4.825,-10.240
'0:33.596',4.820,-10.240
'0:33.598',4.830,-10.240
'0:33.600',4.835,-10.240
'0:33.602',4.840,-10.240
'0:33.604',4.840,-10.240
'0:33.606',4.835,-10.240
'0:33.608',4.850,-10.240
'0:33.610',4.830,-10.240
'0:33.612',4.820,-10.240
'0:33.614',4.830,-10.240
'0:33.616',4.830,-10.240
'0:33.618',4.845,-10.240
'0:33.620',4.840,-10.240
'0:33.622',4.830,-10.240
'0:33.624',4.845,-10.240
'0:33.626',4.840,-10.240
'0:33.628',4.825,-10.240
'0:33.630',4.820,-10.240
'0:33.632',4.820,-10.240
'0:33.634',4.835,-10.240
'0:33.636',4.840,-10.240
'0:33.638',4.835,-10.240
'0:33.640',4.830,-10.240
'0:33.642',4.850,-10.240
'0:33.644',4.830,-10.240
'0:33.646',4.825,-10.240
'0:33.648',4.820,-10.240
'0:33.650',4.815,-10.240
'0:33.652',4.830,-10.240
'0:33.654',4.825,-10.240
'0:33.656',4.845,-10.240
'0:33.658',4.845,-10.240
'0:33.660',4.840,-10.240
'0:33.662',4.830,-10.240
'0:33.664',4.830,-10.240
'0:33.666',4.835,-10.240
'0:33.668',4.825,-10.240
'0:33.670',4.820,-10.240
'0:33.672',4.815,-10.240
'0:33.674',4.835,-10.240
'0:33.676',4.830,-10.240
'0:33.678',4.825,-10.240
'0:33.680',4.845,-10.240
'0:33.682',4.830,-10.240
'0:33.684',4.830,-10.240
'0:33.686',4.820,-10.240
'0:33.688',4.820,-10.240
'0:33.690',4.820,-10.240
'0:33.692',4.825,-10.240
'0:33.694',4.845,-10.240
'0:33.696',4.840,-10.240
'0:33.698',4.840,-10.240
'0:33.700',4.845,-10.240
'0:33.702',4.835,-10.240
'0:33.704',4.830,-10.240
'0:33.706',4.815,-10.240
'0:33.708',4.835,-10.240
'0:33.710',4.820,-10.240
'0:33.712',4.830,-10.240
'0:33.714',4.835,-10.240
'0:33.716',4.865,-10.240
'0:33.718',4.840,-10.240
'0:33.720',4.835,-10.240
'0:33.722',4.810,-10.240
'0:33.724',4.815,-10.240
'0:33.726',4.815,-10.240
'0:33.728',4.840,-10.240
'0:33.730',4.835,-10.240
'0:33.732',4.835,-10.240
'0:33.734',4.845,-10.240
'0:33.736',4.825,-10.240
'0:33.738',4.820,-10.240
'0:33.740',4.815,-10.240
'0:33.742',4.830,-10.240
'0:33.744',4.820,-10.240
'0:33.746',4.840,-10.240
'0:33.748',4.850,-10.240
'0:33.750',4.865,-10.240
'0:33.752',4.825,-10.240
'0:33.754',4.825,-10.240
'0:33.756',4.810,-10.240
'0:33.758',4.815,-10.240
'0:33.760',4.825,-10.240
'0:33.762',4.850,-10.240
'0:33.764',4.850,-10.240
'0:33.766',4.835,-10.240
'0:33.768',4.845,-10.240
'0:33.770',4.825,-10.240
'0:33.772',4.820,-10.240
'0:33.774',4.815,-10.240
'0:33.776',4.830,-10.240
'0:33.778',4.815,-10.240
'0:33.780',4.835,-10.240
'0:33.782',4.840,-10.240
'0:33.784',4.855,-10.240
'0:33.786',4.835,-10.240
'0:33.788',4.825,-10.240
'0:33.790',4.815,-10.240
'0:33.792',4.815,-10.240
'0:33.794',4.810,-10.240
'0:33.796',4.835,-10.240
'0:33.798',4.845,-10.240
'0:33.800',4.835,-10.240
'0:33.802',4.845,-10.240
'0:33.804',4.835,-10.240
'0:33.806',4.835,-10.240
'0:33.808',4.815,-10.240
'0:33.810',4.820,-10.240
'0:33.812',4.805,-10.240
'0:33.814',4.830,-10.240
'0:33.816',4.835,-10.240
'0:33.818',4.850,-10.240
'0:33.820',4.845,-10.240
'0:33.822',4.840,-10.240
'0:33.824',4.835,-10.240
'0:33.826',4.820,-10.240
'0:33.828',4.820,-10.240
'0:33.830',4.830,-10.240
'0:33.832',4.835,-10.240
'0:33.834',4.820,-10.240
'0:33.836',4.845,-10.240
'0:33.838',4.830,-10.240
'0:33.840',4.845,-10.240
'0:33.842',4.830,-10.240
'0:33.844',4.845,-10.240
'0:33.846',4.815,-10.240
'0:33.848',4.815,-10.240
'0:33.850',4.835,-10.240
'0:33.852',4.840,-10.240
'0:33.854',4.830,-10.240
'0:33.856',4.835,-10.240
'0:33.858',4.830,-10.240
'0:33.860',4.825,-10.240
'0:33.862',4.835,-10.240
'0:33.864',4.830,-10.240
'0:33.866',4.830,-10.240
'0:33.868',4.815,-10.240
'0:33.870',4.840,-10.240
'0:33.872',4.825,-10.240
'0:33.874',4.840,-10.240
'0:33.876',4.835,-10.240
'0:33.878',4.860,-10.240
'0:33.880',4.840,-10.240
'0:33.882',4.815,-10.240
'0:33.884',4.820,-10.240
'0:33.886',4.835,-10.240
'0:33.888',4.830,-10.240
'0:33.890',4.840,-10.240
'0:33.892',4.840,-10.240
'0:33.894',4.830,-10.240
'0:33.896',4.840,-10.240
'0:33.898',4.835,-10.240
'0:33.900',4.830,-10.240
'0:33.902',4.820,-10.240
'0:33.904',4.830,-10.240
'0:33.906',4.820,-10.240
'0:33.908',4.835,-10.240
'0:33.910',4.835,-10.240
'0:33.912',4.855,-10.240
'0:33.914',4.835,-10.240
'0:33.916',4.830,-10.240
'0:33.918',4.825,-10.240
'0:33.920',4.825,-10.240
'0:33.922',4.815,-10.240
'0:33.924',4.835,-10.240
'0:33.926',4.835,-10.240
'0:33.928',4.830,-10.240
'0:33.930',4.845,-10.240
'0:33.932',4.835,-10.240
'0:33.934',4.855,-10.240
'0:33.936',4.820,-10.240
'0:33.938',4.825,-10.240
'0:33.940',4.810,-10.240
'0:33.942',4.820,-10.240
'0:33.944',4.820,-10.240
'0:33.946',4.855,-10.240
'0:33.948',4.845,-10.240
'0:33.950',4.840,-10.240
'0:33.952',4.840,-10.240
'0:33.954',4.830,-10.240
'0:33.956',4.820,-10.240
'0:33.958',4.815,-10.240
'0:33.960',4.825,-10.240
'0:33.962',4.820,-10.240
'0:33.964',4.845,-10.240
'0:33.966',4.840,-10.240
'0:33.968',4.855,-10.240
'0:33.970',4.830,-10.240
'0:33.972',4.815,-10.240
'0:33.974',4.815,-10.240
'0:33.976',4.830,-10.240
'0:33.978',4.825,-10.240
'0:33.980',4.855,-10.240
'0:33.982',4.845,-10.240
'0:33.984',4.830,-10.240
'0:33.986',4.835,-10.240
'0:33.988',4.820,-10.240
'0:33.990',4.815,-10.240
'0:33.992',4.815,-10.240
'0:33.994',4.830,-10.240
'0:33.996',4.830,-10.240
'0:33.998',4.845,-10.240
'0:34.000',4.850,-10.240
'0:34.002',4.855,-10.240
'0:34.004',4.820,-10.240
'0:34.006',4.815,-10.240
'0:34.008',4.805,-10.240
'0:34.010',4.825,-10.240
'0:34.012',4.825,-10.240
'0:34.014',4.855,-10.240
'0:34.016',4.845,-10.240
'0:34.018',4.840,-10.240
'0:34.020',4.840,-10.240
'0:34.022',4.820,-10.240
'0:34.024',4.825,-10.240
'0:34.026',4.820,-10.240
'0:34.028',4.830,-10.240
'0:34.030',4.830,-10.240
'0:34.032',4.840,-10.240
'0:34.034',4.840,-10.240
'0:34.036',4.850,-10.240
'0:34.038',4.835,-10.240
'0:34.040',4.835,-10.240
'0:34.042',4.820,-10.240
'0:34.044',4.815,-10.240
'0:34.046',4.825,-10.240
'0:34.048',4.840,-10.240
'0:34.050',4.855,-10.240
'0:34.052',4.835,-10.240
'0:34.054',4.845,-10.240
'0:34.056',4.835,-10.240
'0:34.058',4.840,-10.240
'0:34.060',4.815,-10.240
'0:34.062',4.825,-10.240
'0:34.064',4.825,-10.240
'0:34.066',4.835,-10.240
'0:34.068',4.835,-10.240
'0:34.070',4.855,-10.240
'0:34.072',4.825,-10.240
'0:34.074',4.840,-10.240
'0:34.076',4.830,-10.240
'0:34.078',4.815,-10.240
'0:34.080',4.820,-10.240
